gml_id,id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,layer,path
metro19.10,SkorowidzOrtofomapy2019.900970,,,,,,,,,,,,,N-34-50-C-d-4-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900970.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900970_N-34-50-C-d-4-2.tif,,SkorowidzOrtofomapy2019.900970.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.11,SkorowidzOrtofomapy2019.900919,,,,,,,,,,,,,N-34-50-A-c-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900919.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900919_N-34-50-A-c-1-4.tif,,SkorowidzOrtofomapy2019.900919.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,34,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.12,SkorowidzOrtofomapy2019.900795,,,,,,,,,,,,,N-34-49-B-c-4-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900795.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900795_N-34-49-B-c-4-4.tif,,SkorowidzOrtofomapy2019.900795.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,33,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.13,SkorowidzOrtofomapy2019.897602,,,,,,,,,,,,,N-34-62-A-a-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897602.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897602_N-34-62-A-a-1-4.tif,,SkorowidzOrtofomapy2019.897602.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,41,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.14,SkorowidzOrtofomapy2019.900962,,,,,,,,,,,,,N-34-50-C-d-1-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900962.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900962_N-34-50-C-d-1-3.tif,,SkorowidzOrtofomapy2019.900962.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.15,SkorowidzOrtofomapy2019.900969,,,,,,,,,,,,,N-34-50-C-d-4-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900969.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900969_N-34-50-C-d-4-1.tif,,SkorowidzOrtofomapy2019.900969.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.16,SkorowidzOrtofomapy2019.900965,,,,,,,,,,,,,N-34-50-C-d-2-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900965.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900965_N-34-50-C-d-2-3.tif,,SkorowidzOrtofomapy2019.900965.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.17,SkorowidzOrtofomapy2019.900877,,,,,,,,,,,,,N-34-49-D-b-1-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900877.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900877_N-34-49-D-b-1-2.tif,,SkorowidzOrtofomapy2019.900877.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.18,SkorowidzOrtofomapy2019.900878,,,,,,,,,,,,,N-34-49-D-b-1-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900878.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900878_N-34-49-D-b-1-3.tif,,SkorowidzOrtofomapy2019.900878.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,34,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.19,SkorowidzOrtofomapy2019.900890,,,,,,,,,,,,,N-34-49-D-b-4-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900890.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900890_N-34-49-D-b-4-3.tif,,SkorowidzOrtofomapy2019.900890.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.20,SkorowidzOrtofomapy2019.900921,,,,,,,,,,,,,N-34-50-A-c-3-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900921.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900921_N-34-50-A-c-3-2.tif,,SkorowidzOrtofomapy2019.900921.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,27,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.21,SkorowidzOrtofomapy2019.897595,,,,,,,,,,,,,N-34-62-A-a-2-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897595.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897595_N-34-62-A-a-2-4.tif,,SkorowidzOrtofomapy2019.897595.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,43,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.22,SkorowidzOrtofomapy2019.900806,,,,,,,,,,,,,N-34-49-B-d-3-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900806.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900806_N-34-49-B-d-3-3.tif,,SkorowidzOrtofomapy2019.900806.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.23,SkorowidzOrtofomapy2019.897632,,,,,,,,,,,,,N-34-62-A-b-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897632.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897632_N-34-62-A-b-1-4.tif,,SkorowidzOrtofomapy2019.897632.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.24,SkorowidzOrtofomapy2019.900889,,,,,,,,,,,,,N-34-49-D-b-4-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900889.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900889_N-34-49-D-b-4-2.tif,,SkorowidzOrtofomapy2019.900889.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.25,SkorowidzOrtofomapy2019.897437,,,,,,,,,,,,,N-34-62-B-b-1-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897437.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897437_N-34-62-B-b-1-3.tif,,SkorowidzOrtofomapy2019.897437.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.26,SkorowidzOrtofomapy2019.900960,,,,,,,,,,,,,N-34-50-C-d-1-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900960.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900960_N-34-50-C-d-1-1.tif,,SkorowidzOrtofomapy2019.900960.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,29,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.27,SkorowidzOrtofomapy2019.900935,,,,,,,,,,,,,N-34-50-C-a-1-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900935.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900935_N-34-50-C-a-1-1.tif,,SkorowidzOrtofomapy2019.900935.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,37,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.28,SkorowidzOrtofomapy2019.900959,,,,,,,,,,,,,N-34-50-C-c-4-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900959.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900959_N-34-50-C-c-4-2.tif,,SkorowidzOrtofomapy2019.900959.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,40,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.29,SkorowidzOrtofomapy2019.900951,,,,,,,,,,,,,N-34-50-C-c-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900951.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900951_N-34-50-C-c-1-4.tif,,SkorowidzOrtofomapy2019.900951.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.30,SkorowidzOrtofomapy2019.900954,,,,,,,,,,,,,N-34-50-C-c-2-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900954.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900954_N-34-50-C-c-2-3.tif,,SkorowidzOrtofomapy2019.900954.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,40,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.31,SkorowidzOrtofomapy2019.900966,,,,,,,,,,,,,N-34-50-C-d-2-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900966.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900966_N-34-50-C-d-2-4.tif,,SkorowidzOrtofomapy2019.900966.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,19,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.32,SkorowidzOrtofomapy2019.900924,,,,,,,,,,,,,N-34-50-A-c-4-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900924.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900924_N-34-50-A-c-4-1.tif,,SkorowidzOrtofomapy2019.900924.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,28,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.33,SkorowidzOrtofomapy2019.900955,,,,,,,,,,,,,N-34-50-C-c-2-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900955.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900955_N-34-50-C-c-2-4.tif,,SkorowidzOrtofomapy2019.900955.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,39,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.34,SkorowidzOrtofomapy2019.900944,,,,,,,,,,,,,N-34-50-C-a-3-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900944.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900944_N-34-50-C-a-3-4.tif,,SkorowidzOrtofomapy2019.900944.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,37,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.35,SkorowidzOrtofomapy2019.900948,,,,,,,,,,,,,N-34-50-C-c-1-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900948.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900948_N-34-50-C-c-1-1.tif,,SkorowidzOrtofomapy2019.900948.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,35,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.36,SkorowidzOrtofomapy2019.900879,,,,,,,,,,,,,N-34-49-D-b-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900879.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900879_N-34-49-D-b-1-4.tif,,SkorowidzOrtofomapy2019.900879.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,32,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.37,SkorowidzOrtofomapy2019.900910,,,,,,,,,,,,,N-34-49-D-d-4-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900910.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900910_N-34-49-D-d-4-2.tif,,SkorowidzOrtofomapy2019.900910.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,37,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.38,SkorowidzOrtofomapy2019.900906,,,,,,,,,,,,,N-34-49-D-d-2-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900906.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900906_N-34-49-D-d-2-3.tif,,SkorowidzOrtofomapy2019.900906.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,31,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.39,SkorowidzOrtofomapy2019.897626,,,,,,,,,,,,,N-34-62-A-b-3-1,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.897626.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73213/73213_897626_N-34-62-A-b-3-1.tif,,SkorowidzOrtofomapy2019.897626.dt_pzgik,,,,,,,,,,,,,,,,2020-02-10,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.40,SkorowidzOrtofomapy2019.900940,,,,,,,,,,,,,N-34-50-C-a-2-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900940.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900940_N-34-50-C-a-2-3.tif,,SkorowidzOrtofomapy2019.900940.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,23,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.41,SkorowidzOrtofomapy2019.900810,,,,,,,,,,,,,N-34-49-B-d-4-3,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900810.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900810_N-34-49-B-d-4-3.tif,,SkorowidzOrtofomapy2019.900810.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,28,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.42,SkorowidzOrtofomapy2019.900799,,,,,,,,,,,,,N-34-49-B-d-1-4,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900799.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900799_N-34-49-B-d-1-4.tif,,SkorowidzOrtofomapy2019.900799.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
metro19.43,SkorowidzOrtofomapy2019.900953,,,,,,,,,,,,,N-34-50-C-c-2-2,2019,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.004.2019,,SkorowidzOrtofomapy2019.900953.akt_data,,,,,,,,,,,,,,,,2019-06-03,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73221/73221_900953_N-34-50-C-c-2-2.tif,,SkorowidzOrtofomapy2019.900953.dt_pzgik,,,,,,,,,,,,,,,,2020-02-21,36,metro19,C:/Users/admin/Desktop/inference_data/Inference_data/metro19.gml
